City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Monrovia,LR,2020-11-03 19:06:27,6.3,-10.8,80.31,82,89,5.97
161,Ampanihy,MG,2020-11-03 19:06:27,-24.7,44.75,76.21,59,0,6.08
162,Nara,JP,2020-11-03 19:04:56,34.69,135.8,48.99,50,0,1.01
163,Witu,KE,2020-11-03 19:06:27,-2.39,40.44,78.8,83,20,4.7
164,Praya,CV,2020-11-03 19:04:59,14.92,-23.51,86.0,37,0,16.11
165,Arlit,NE,2020-11-03 19:06:28,18.74,7.39,81.48,16,50,10.83
166,Sulangan,PH,2020-11-03 19:06:28,11.14,123.72,82.69,76,100,8.21
167,Avera,US,2020-11-03 19:06:28,33.19,-82.53,64.4,22,40,6.93
168,Hualmay,PE,2020-11-03 19:06:28,-11.1,-77.61,69.03,65,100,9.04
169,Catuday,PH,2020-11-03 19:06:28,16.29,119.81,78.71,81,13,6.22
170,Alihe,CN,2020-11-03 19:06:29,50.57,123.72,15.35,85,0,3.65
171,Kyrylivka,UA,2020-11-03 19:06:29,46.38,35.37,54.46,83,100,8.55
172,Nhulunbuy,AU,2020-11-03 19:06:29,-12.23,136.77,73.4,88,100,6.08
173,Slanic-Moldova,RO,2020-11-03 19:06:29,46.2,26.43,50.0,100,90,3.36
174,Vaitape,PF,2020-11-03 19:06:29,-16.52,-151.75,79.7,82,73,20.76
175,Guerrero Negro,MX,2020-11-03 19:06:30,27.98,-114.06,80.85,44,4,10.25
176,Vao,NC,2020-11-03 19:06:30,-22.67,167.48,74.5,88,100,3.13
177,Mar Del Plata,AR,2020-11-03 19:05:30,-38.0,-57.56,66.2,72,20,21.92
178,Mahibadhoo,MV,2020-11-03 19:06:30,3.78,72.97,83.39,69,16,4.59
179,Bose,IT,2020-11-03 19:06:30,45.46,8.01,57.0,96,70,1.43
180,Zhangye,CN,2020-11-03 19:06:31,38.93,100.45,35.13,69,0,0.65
181,Chokurdakh,RU,2020-11-03 19:06:31,70.63,147.92,-15.36,84,0,6.67
182,Mahebourg,MU,2020-11-03 19:06:31,-20.41,57.7,71.6,68,75,9.17
183,Abu Samrah,SY,2020-11-03 19:06:31,35.3,37.18,66.54,51,96,5.79
184,Torbay,CA,2020-11-03 19:03:19,47.67,-52.73,45.0,81,90,12.75
185,Dig,IN,2020-11-03 19:06:31,27.47,77.33,66.52,24,0,1.83
186,Dunedin,NZ,2020-11-03 19:06:31,-45.87,170.5,55.99,81,0,8.01
187,Moranbah,AU,2020-11-03 19:06:32,-22.0,148.05,66.85,85,0,11.25
188,Saint Anthony,US,2020-11-03 19:06:32,45.02,-93.22,68.0,32,1,9.17
189,Dharan,NP,2020-11-03 19:06:32,26.81,87.28,67.98,78,2,3.91
190,Codrington,AU,2020-11-03 19:06:32,-38.27,141.97,57.94,93,100,7.65
191,Marsh Harbour,BS,2020-11-03 19:06:32,26.54,-77.06,72.73,71,13,24.79
192,Hobyo,SO,2020-11-03 19:06:33,5.35,48.53,80.89,81,72,13.44
193,Barsi,IN,2020-11-03 19:06:33,18.23,75.7,71.58,54,0,8.28
194,Harbour Breton,CA,2020-11-03 19:06:33,47.48,-55.8,46.0,100,100,3.0
195,Puerto Escondido,MX,2020-11-03 19:06:33,15.85,-97.07,87.8,66,5,10.29
196,Alta Floresta,BR,2020-11-03 19:06:33,-9.88,-56.09,91.09,46,100,3.0
197,Clyde River,CA,2020-11-03 19:06:33,70.47,-68.59,15.8,92,75,34.45
198,Kelso,US,2020-11-03 19:06:34,46.15,-122.91,50.0,93,90,5.82
199,Longonjo,AO,2020-11-03 19:06:34,-12.91,15.25,64.78,83,11,2.84
200,Aklavik,CA,2020-11-03 19:06:34,68.22,-135.01,1.4,84,90,8.05
201,Solnechnyy,RU,2020-11-03 19:06:34,50.72,136.63,21.25,92,100,0.98
202,Yanam,IN,2020-11-03 19:06:34,16.73,82.22,78.3,84,0,2.68
203,Amapa,BR,2020-11-03 19:06:34,1.0,-52.0,91.9,47,100,3.11
204,Los Negros,BO,2020-11-03 19:06:34,-17.73,-63.43,96.8,23,0,3.36
205,Saint-Pierre,RE,2020-11-03 19:06:35,-21.34,55.48,73.4,56,90,10.29
