City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Mecca,SA,21.43,39.83,78.31,68,0,5.75,clear sky
190,Librazhd,AL,41.18,20.32,59.0,93,75,2.08,broken clouds
191,Egvekinot,RU,66.32,-179.17,16.14,98,100,4.45,light snow
192,Emerald,AU,-23.53,148.17,68.0,72,0,5.82,clear sky
193,Provideniya,RU,64.38,-173.3,35.6,80,90,24.61,light rain
194,Geraldton,AU,-28.77,114.6,60.8,77,0,8.05,clear sky
195,Henties Bay,NA,-22.12,14.28,61.0,90,8,5.86,clear sky
196,Buchanan,LR,5.88,-10.05,80.6,94,75,4.7,thunderstorm
197,Tuatapere,NZ,-46.13,167.68,60.01,92,84,10.0,broken clouds
198,Villarrica,PY,-25.75,-56.43,88.45,19,0,8.41,clear sky
199,Becerril,CO,9.7,-73.28,82.78,82,94,2.37,moderate rain
200,Darnah,LY,32.77,22.64,69.84,73,94,18.28,overcast clouds
201,Xichang,CN,27.9,102.26,57.9,76,95,1.12,overcast clouds
202,Bahia Honda,CU,22.9,-83.16,79.61,82,89,17.85,moderate rain
203,Maple Creek,CA,49.92,-109.48,64.4,39,6,18.34,clear sky
204,Klaksvik,FO,62.23,-6.59,50.0,100,94,31.09,overcast clouds
205,Yen Bai,VN,21.7,104.87,67.66,76,83,0.31,broken clouds
206,Ilebo,CD,-4.32,20.58,74.1,86,3,0.27,light rain
207,Mill Valley,US,37.91,-122.55,69.01,74,0,1.01,clear sky
208,Evensk,RU,61.95,159.23,31.26,98,100,8.34,overcast clouds
209,Tezu,IN,27.92,96.17,65.01,82,29,4.83,light rain
210,Baran,IN,25.1,76.52,67.53,24,0,4.92,clear sky
211,Tautira,PF,-17.73,-149.15,84.2,70,40,16.11,scattered clouds
212,Port Hardy,CA,50.7,-127.42,51.8,87,75,8.05,light rain
213,Longyearbyen,SJ,78.22,15.64,32.0,94,75,18.34,broken clouds
214,Kodiak,US,57.79,-152.41,30.2,50,20,8.05,few clouds
215,Buala,SB,-8.14,159.59,81.19,78,100,6.8,overcast clouds
216,Georgetown,MY,5.41,100.34,80.01,94,20,5.82,few clouds
217,Diego De Almagro,CL,-26.37,-70.05,77.63,23,8,13.94,clear sky
218,Caledon East,CA,43.87,-79.87,68.0,45,5,16.11,clear sky
219,Srednekolymsk,RU,67.45,153.68,0.9,91,100,20.49,overcast clouds
220,Juliaca,PE,-15.5,-70.13,66.2,14,40,8.05,scattered clouds
221,Mvuma,ZW,-19.28,30.53,64.09,81,100,8.16,overcast clouds
222,Manali,IN,13.17,80.27,80.6,94,40,9.04,mist
223,Pachperwa,IN,27.52,82.65,63.95,50,0,3.65,clear sky
224,Olafsvik,IS,64.89,-23.71,44.38,70,25,33.91,scattered clouds
225,Komsomolskiy,UZ,40.43,71.72,46.4,39,0,6.93,mist
226,Miraflores,MX,19.22,-98.81,73.4,23,5,11.41,clear sky
227,Kajaani,FI,64.23,27.73,41.0,86,75,9.17,broken clouds
